sembol,tarih,puan,karar,puan_eski,siskinlik,giris_skoru,getiri_5g,getiri_10g,getiri_20g
A1CAP,2024-07-04,33.8,🔴 UZAK DUR / SAT,33.8,0.0,50.0,3.6242621941316333,2.2929007517415334,-1.0354984456060867
A1CAP,2024-07-11,38.3,🔴 UZAK DUR / SAT,38.3,0.0,50.0,-1.2847970293828337,-3.21199682789276,-8.63669161467746
A1CAP,2024-07-19,38.3,🔴 UZAK DUR / SAT,38.3,0.0,50.0,-1.9522826682365824,-3.2537929542397537,-5.567608172947425
A1CAP,2024-07-26,35.3,🔴 UZAK DUR / SAT,35.3,0.0,50.0,-1.3274253816631498,-5.604718156173316,-4.79350594182727
A1CAP,2024-08-02,32.5,🔴 UZAK DUR / SAT,32.5,0.0,50.0,-4.334834467484638,-2.391634038545043,-2.3168921337731296
A1CAP,2024-08-09,31.8,🔴 UZAK DUR / SAT,32.53,6.1,59.9,2.0312518335413587,0.8593779249350231,2.0312518335413587
A1CAP,2024-08-16,41.6,🟠 ZAYIF / BEKLE,41.6,0.0,62.0,-1.1485440858044038,0.07657325684709004,0.6125586713257469
A1CAP,2024-08-23,40.1,🟠 ZAYIF / BEKLE,40.1,0.0,62.0,1.2393518449691943,1.1618888919565862,4.260259270507483
A1CAP,2024-09-02,43.1,🟠 ZAYIF / BEKLE,43.1,0.0,62.0,-0.07651466707454535,0.535575307023195,0.6120899740977404
A1CAP,2024-09-09,48.2,🟠 ZAYIF / BEKLE,48.2,0.0,62.0,0.6125586713257469,3.0627842288117435,2.6799362002102756
A1CAP,2024-09-16,48.2,🟠 ZAYIF / BEKLE,48.2,0.0,62.0,2.4353078679672846,0.07610705647318472,-6.240488318986637
A1CAP,2024-09-23,53.6,🟡 İZLE / TUT,53.6,0.0,62.0,-2.3031129213131885,-0.3714706831046799,-6.686472295884194
A1CAP,2024-09-30,45.2,🟠 ZAYIF / BEKLE,45.2,0.0,62.0,1.9771789009538576,-6.311791656619247,-5.9315638988960195
A1CAP,2024-10-07,50.9,🟠 ZAYIF / BEKLE,52.61,14.2,57.0,-8.128260309714808,-6.338547458321864,-12.229673370981898
A1CAP,2024-10-14,35.9,🔴 UZAK DUR / SAT,37.199999999999996,10.9,58.2,1.9480559064477987,0.40584377100012503,-3.814939188264077
A1CAP,2024-10-21,39.1,🔴 UZAK DUR / SAT,41.5,20.0,55.0,-1.5127430550150867,-6.289808403343478,-5.9713411765956455
A1CAP,2024-10-28,40.1,🟠 ZAYIF / BEKLE,42.5,20.0,55.0,-4.850440043219873,-4.203722413698063,-2.4252200216099418
A1CAP,2024-11-05,36.0,🔴 UZAK DUR / SAT,38.4,20.0,55.0,0.6796853604110975,0.33984268020554875,3.908241463521356
A1CAP,2024-11-12,35.6,🔴 UZAK DUR / SAT,35.6,0.0,62.0,-0.3375484130576978,1.8565464513857544,8.52321311805242
A1CAP,2024-11-19,37.7,🔴 UZAK DUR / SAT,37.7,0.0,62.0,2.2015260807922044,3.556312914191717,5.419137239670024
A1CAP,2024-11-26,40.7,🟠 ZAYIF / BEKLE,40.7,0.0,62.0,1.3256033303539194,6.54515286344266,1.822697171865828
A1CAP,2024-12-03,40.7,🟠 ZAYIF / BEKLE,40.7,0.0,62.0,5.151264203255046,1.7988515359965263,14.47260174897469
A1CAP,2024-12-10,46.2,🟠 ZAYIF / BEKLE,47.650000000000006,12.1,57.8,-3.1881810386781284,-4.432351509814369,1.6329725846446097
A1CAP,2024-12-17,53.6,🟡 İZLE / TUT,53.6,0.0,62.0,-1.2851431617386666,12.449796851093819,0.6425715808693333
A1CAP,2024-12-24,49.6,🟠 ZAYIF / BEKLE,49.6,0.0,62.0,13.913751640582728,6.346629000798187,1.708708554037841
A1CAP,2024-12-31,49.6,🟠 ZAYIF / BEKLE,54.64,42.0,50.3,-6.642852623851859,-10.49999697719296,-12.499996806893975
A1CAP,2025-01-08,51.2,🟠 ZAYIF / BEKLE,51.2,0.0,50.0,-4.1316004845351255,-4.361135364925895,-9.487380917265742
A1CAP,2025-01-15,48.3,🟠 ZAYIF / BEKLE,48.3,0.0,50.0,-0.23942704952922833,-2.2346366057567124,-7.821232877103313
A1CAP,2025-01-22,48.6,🟠 ZAYIF / BEKLE,48.6,0.0,50.0,-1.9999980926513672,-5.360002517700191,-8.800001144409176
A1CAP,2025-01-29,37.9,🔴 UZAK DUR / SAT,40.3,20.0,43.0,-3.4285758771978925,-5.7142898848730255,-11.836732906482993
A1CAP,2025-02-05,40.6,🟠 ZAYIF / BEKLE,42.69,17.4,43.9,-2.366863726446211,-3.6348253573784794,-4.268801134412959
A1CAP,2025-02-12,39.1,🔴 UZAK DUR / SAT,41.5,20.0,43.0,-1.298700092333016,-6.49350046166508,9.307366143446249
A1CAP,2025-02-19,36.4,🔴 UZAK DUR / SAT,38.8,20.0,43.0,-5.263152941442195,-0.6578888892025958,5.701759476851076
A1CAP,2025-02-26,31.1,🔴 UZAK DUR / SAT,33.5,20.0,43.0,4.861111800979656,16.898147918191974,10.41666183758685
A1CAP,2025-03-05,35.4,🔴 UZAK DUR / SAT,37.8,20.0,43.0,11.479027744868775,6.40176486581876,8.167767514843781
A1CAP,2025-03-12,44.8,🟠 ZAYIF / BEKLE,47.47,22.2,42.2,-4.554455651218847,-5.544558400652355,-6.732676034580798
A1CAP,2025-03-19,38.7,🔴 UZAK DUR / SAT,39.260000000000005,4.7,48.4,-1.0373483185505572,1.6597493953715015,-1.452285667393427
A1CAP,2025-03-26,38.8,🔴 UZAK DUR / SAT,38.97,1.4,49.5,2.7253692863886902,-1.2578604406595195,-4.61215494908489
A1CAP,2025-04-04,44.3,🟠 ZAYIF / BEKLE,44.3,0.0,50.0,-3.8775521127048407,-3.061226376490178,3.8775521127048407
A1CAP,2025-04-11,36.6,🔴 UZAK DUR / SAT,39.0,20.0,43.0,0.8492560834195695,-3.397024333678289,23.779190583610198
A1CAP,2025-04-18,37.2,🔴 UZAK DUR / SAT,37.2,0.0,50.0,-4.210522300318664,7.15789794921875,55.15789232755963
A1CAP,2025-04-28,39.0,🔴 UZAK DUR / SAT,39.0,0.0,50.0,11.868130532227795,28.13186108382253,41.97801686473399
A1CAP,2025-05-06,58.8,🟡 İZLE / TUT,58.8,0.0,50.0,14.53830548004853,44.79370657409469,35.952846146294014
A1CAP,2025-05-13,59.1,🟡 İZLE / TUT,66.76,63.9,42.6,26.415094030980192,10.806177061498733,39.96569389704048
A1CAP,2025-05-21,61.7,🟡 İZLE / TUT,72.5,90.0,21.5,-12.347352259735855,-6.105831970864406,10.9905078995161
A1CAP,2025-05-28,59.8,🟡 İZLE / TUT,64.5,39.1,24.3,7.120743582517397,26.315786365734684,33.12694010349582
A1CAP,2025-06-04,57.0,🟡 İZLE / TUT,62.81,48.4,21.1,17.91907163940747,18.208095592343376,29.768778081367152
A1CAP,2025-06-13,58.2,🟡 İZLE / TUT,67.49000000000001,77.4,25.9,0.24510365364791564,5.392163508399572,2.4509781005518594
A1CAP,2025-06-20,55.9,🟡 İZLE / TUT,61.3,45.0,34.2,5.1344750687624785,9.779941408490632,6.8459589859434455
A1CAP,2025-06-27,57.6,🟡 İZLE / TUT,62.550000000000004,41.3,23.5,4.418594696639544,-2.790705978450958,14.534883076207228
A1CAP,2025-07-04,55.4,🟡 İZLE / TUT,59.269999999999996,32.2,41.7,-6.904230703386882,-2.672603378088767,11.247219157767475
A1CAP,2025-07-11,52.5,🟡 İZLE / TUT,53.58,9.0,46.9,4.545456101034717,17.822975908885308,33.014358160617704
A1CAP,2025-07-21,60.0,🟡 İZLE / TUT,61.02,8.5,47.0,12.700236148971356,14.302059871107753,19.794056535648096
A1CAP,2025-07-28,62.6,🟢 AL,65.79,26.6,55.7,1.421313545447278,12.893395481268577,4.263960000286593
A1CAP,2025-08-04,63.2,🟢 AL,65.8,21.6,42.4,11.311312716020595,4.804809878958771,0.8008000554448502
A1CAP,2025-08-11,63.7,🟢 AL,70.33,55.2,33.7,-5.845320370680862,-7.64387982502821,-19.604319492905976
A1CAP,2025-08-18,63.9,🟢 AL,64.83,7.7,47.3,-1.9102178048166607,-3.8204447182703105,-9.837637634920549
A1CAP,2025-08-25,61.5,🟡 İZLE / TUT,61.5,0.0,50.0,-1.9474270109526737,-12.950348764346442,-5.550152123582819
A1CAP,2025-09-01,63.3,🟢 AL,63.3,0.0,68.0,-11.221451327567722,-6.256207880172282,4.76663863413378
A1CAP,2025-09-08,53.1,🟡 İZLE / TUT,53.1,0.0,50.0,5.592841425822104,8.50112152744924,46.8680171221884
A1CAP,2025-09-15,49.4,🟠 ZAYIF / BEKLE,49.4,0.0,50.0,2.7542398351598107,11.758481564535117,41.949154811150756
A1CAP,2025-09-22,53.8,🟡 İZLE / TUT,53.8,0.0,50.0,8.762890702923865,35.3608285837238,25.051550030492997
A1CAP,2025-09-29,65.6,🟢 AL,66.0,3.3,66.8,24.454975138027415,27.014212097344938,20.56872073044762
A1CAP,2025-10-06,63.1,🟢 AL,73.03,82.8,24.0,2.0563556872509103,-7.616146163625381,2.3610012432629945
A1CAP,2025-10-13,63.8,🟢 AL,71.28999999999999,62.4,16.2,-9.477608509280323,-5.0746221705941235,-3.507457662196878
A1CAP,2025-10-20,66.5,🟢 AL,69.33,23.6,29.7,4.863974831174889,10.799665734403519,-0.4122027226969083
A1CAP,2025-10-27,66.1,🟢 AL,68.3,18.4,43.6,5.660371841506828,1.650943661466009,-8.569183409636027
A1CAP,2025-11-04,67.2,🟢 AL,69.0,15.0,44.8,-3.794637582815863,-10.119045380494418,-11.30952047281244
A1CAP,2025-11-11,59.6,🟡 İZLE / TUT,60.02,3.5,48.8,-6.573862037184009,-10.054138902181487,-6.805878528004838
A1CAP,2025-11-18,52.5,🟡 İZLE / TUT,52.5,0.0,68.0,-3.725164007510029,-1.3245020564786825,-4.801323902062704
A1CAP,2025-11-25,47.6,🟠 ZAYIF / BEKLE,47.6,0.0,50.0,2.493550808249223,3.611350577481365,-7.136714664993404
A1CAP,2025-12-02,48.6,🟠 ZAYIF / BEKLE,48.6,0.0,50.0,1.0906049799400463,-3.52349055038369,-4.614095530323725
A1CAP,2025-12-09,54.4,🟡 İZLE / TUT,54.4,0.0,50.0,-4.564316863312201,-10.373443819205196,0.8298707569506902
A1CAP,2025-12-16,45.5,🟠 ZAYIF / BEKLE,45.5,0.0,50.0,-6.086954863175098,-1.1304357777471075,9.999996682871949
A1CAP,2025-12-23,42.4,🟠 ZAYIF / BEKLE,42.4,0.0,50.0,5.277774858867246,12.499994481051502,21.296297686253695
A1CAP,2025-12-30,40.9,🟠 ZAYIF / BEKLE,40.9,0.0,50.0,6.860156031855902,11.257693455185569,26.64907443683937
A1CAP,2026-01-07,53.0,🟡 İZLE / TUT,53.0,0.0,68.0,4.1152264666530325,7.8189365659780075,33.16873097262696
A1CAP,2026-01-14,53.8,🟡 İZLE / TUT,53.8,0.0,68.0,3.5573183913798045,13.83399251203552,30.197626956672117
A1CAP,2026-01-21,57.4,🟡 İZLE / TUT,59.8,20.0,43.0,9.923658009196924,23.511449114633542,32.67174545545082
A1CAP,2026-01-28,60.6,🟡 İZLE / TUT,65.04,37.0,40.0,12.361116206940448,14.374998261531147,14.652782404496477
A1CAP,2026-02-04,64.9,🟢 AL,72.54,63.6,30.7,1.7923300538254194,7.416556445965927,8.590848970526865
A1CAP,2026-02-11,68.0,🟢 AL,74.03,50.2,20.4,5.525196632365659,0.2428713855191722,2.0643604539327898
A1CAP,2026-02-18,68.3,🟢 AL,74.32,50.2,35.4,-5.005747835987762,1.0932137124984642,-8.515532875152608
A1CAP,2026-02-25,60.0,🟡 İZLE / TUT,63.78,31.5,39.0,6.420347978481966,1.8170759109726875,-13.143549643917307
A1CAP,2026-03-04,65.2,🟢 AL,67.02,15.2,44.7,-4.3255563009811375,-9.504838391009729,-15.367102197847526
A1CAP,2026-03-11,60.0,🟡 İZLE / TUT,60.06,0.5,49.8,-5.413443642611648,-14.693631123301298,-13.503864224912377
A1CAP,2026-03-18,57.3,🟡 İZLE / TUT,57.3,0.0,68.0,-9.811317631255278,-6.47798589737576,-10.188678769973624
A1CAP,2026-03-26,51.6,🟠 ZAYIF / BEKLE,51.6,0.0,50.0,3.6959534681423545,1.394698794539706,-0.9762924814020191
